"","intensity","load"
"171",10065.8520507812,0
"172",14053.1376953125,0
"173",15835.4287109375,0
"174",10961.919921875,4
"175",13529.32421875,0
"176",14455.4926757812,4
"177",11234.4418945312,0
"178",15104,2
"179",15636.3173828125,3
"180",12410.4345703125,3
"181",15010.9091796875,4
"182",14905.4770507812,4
"183",13504,1
"184",12299.033203125,2
"185",15843.236328125,4
"186",10249.8461914062,0
"187",13396.3291015625,1
"188",15078.201171875,4
"189",9779.2001953125,0
"190",11596.41796875,0
"191",13611.5029296875,3
"192",12443.23828125,3
"193",13137.26953125,1
"194",14979.5419921875,0
"195",13204.2666015625,4
"196",15897.193359375,9
"197",14516.41796875,4
"198",11926.0693359375,0
"199",14887.3764648438,0
"200",15482.4345703125,2
"201",14811.966796875,0
"202",9986.392578125,0
"203",10158.9638671875,0
"204",14086.095703125,0
"205",14413.576171875,0
"206",12975.158203125,4
"207",15637.0180664062,4
"208",13546.923828125,0
"209",12875.4521484375,2
"210",15264.1899414062,2
"211",14787.4912109375,3
"212",13246.6938476562,3
"213",10965.873046875,0
"214",7337.37353515625,0
"215",15325.4052734375,4
"216",14099.6923828125,0
"217",14212.025390625,2
"218",13753.6708984375,3
"219",15018.6669921875,4
"220",13614.5458984375,0
"221",15633.4326171875,1
"222",13355.9399414062,3
"223",13569.2309570312,3
"224",12397.935546875,0
"225",11809.5234375,3
"226",14288,4
"227",15655.384765625,4
"228",12821.349609375,0
"229",11629.1469726562,0
"230",12483.7646484375,0
"231",14782.1943359375,1
"232",14740.7568359375,3
"233",14836.037109375,0
"234",11787.0107421875,0
"235",10336.712890625,0
"236",11687.0732421875,0
"237",12651.7314453125,0
"238",13919.5063476562,1
"239",13140.3930664062,1
"240",15133.9541015625,1
"241",15221.0283203125,0
"242",15812.9228515625,0
"243",14045.0112304688,2
"244",14217.5205078125,4
"245",11866.2294921875,1
"246",14246.9560546875,4
"247",14931.7822265625,0
"248",14930.0288085938,4
"249",13760.0532226562,1
"250",15666.7197265625,9
"251",13709.0615234375,0
"252",13777.77734375,0
"253",8889.6484375,0
"254",10269.638671875,0
"255",15027.8916015625,3
"256",14300.8315429688,3
"257",14584.08203125,0
"258",14746.580078125,0
"259",8982.68359375,0
"260",13691.5859375,0
"261",12293.876953125,0
"262",13221.564453125,2
"263",15943.6796875,4
"264",13835.7255859375,0
"265",12401.41796875,0
"266",13879.3515625,3
"267",13470.78515625,0
"268",15713.044921875,4
"269",13629.2958984375,0
"270",13319.314453125,0
"271",8301.7138671875,3
"272",14366.7236328125,3
"273",12531.8095703125,1
"274",15726.791015625,3
"275",12730.2177734375,0
"276",11452.4770507812,0
"277",12562.1240234375,1
"278",13089.48828125,0
"279",15857.509765625,4
"280",14945.7099609375,4
"281",15748.7412109375,1
"282",11295.1162109375,0
"283",12179.8310546875,0
"284",13372.74609375,0
"285",11592.5966796875,0
"286",15114.240234375,3
"287",13259.9326171875,0
"288",14064.0952148438,0
"289",13255.529296875,0
"290",11091.1455078125,4
"291",11079.4345703125,0
"292",15547.1186523438,2
"293",15485.7543945312,0
"294",15650.1337890625,0
"295",15070.1484375,4
"296",15432.017578125,4
"297",15449.4956054688,4
"298",15675.7333984375,0
"299",12305.423828125,0
"300",15201.6328125,0
"301",14305.15625,0
"302",12868.24609375,0
"303",11987.537109375,1
"304",15348.8115234375,1
"305",11084.3232421875,0
"306",15738.00390625,4
"307",14418.9296875,0
"308",14473.845703125,0
"309",12556.212890625,9
"310",14824.8671875,4
"311",14276.5590820312,0
"312",12280.2421875,0
